lfdn;duration;p_0001;1_order;2_order;3_order;participant_id;1_1_ai;1_2_ai;1_3_ai;1_4_ai;1_5_ai;1_6_ai;1_free;1_1_sus;1_2_sus;1_3_sus;1_4_sus;1_5_sus;1_6_sus;1_7_sus;1_8_sus;1_9_sus;1_10_sus;1_1_tlx_demand;1_2_tlx_demand;1_3_tlx_demand;1_4_tlx_demand;1_5_tlx_demand;1_1_tlx_performance;2_1_ai;2_2_ai;2_3_ai;2_4_ai;2_5_ai;2_6_ai;2_free;2_1_sus;2_2_sus;2_3_sus;2_4_sus;2_5_sus;2_6_sus;2_7_sus;2_8_sus;2_9_sus;2_10_sus;2_1_tlx_demand;2_2_tlx_demand;2_3_tlx_demand;2_4_tlx_demand;2_5_tlx_demand;2_1_tlx_performance;3_1_ai;3_2_ai;3_3_ai;3_4_ai;3_5_ai;3_6_ai;3_free;3_1_sus;3_2_sus;3_3_sus;3_4_sus;3_5_sus;3_6_sus;3_7_sus;3_8_sus;3_9_sus;3_10_sus;3_1_tlx_demand;3_2_tlx_demand;3_3_tlx_demand;3_4_tlx_demand;3_5_tlx_demand;3_1_tlx_performance;rank_1;rank_2;rank_3;4_free;Gender;Age;Degree;Profession;Field;Gdpr;Ropa;Chatbot;Seminar_1;seminar_2
30;524;1;Ask;Form;Chat;1718,00 NLG;5;5;5;2;5;5;-99;4;1;4;1;5;1;4;1;4;1;1;4;2;1;1;18;5;3;5;5;5;5;-99;3;1;5;1;5;1;5;1;5;1;1;1;1;1;1;19;5;5;5;2;5;5;-99;4;1;5;1;5;1;4;1;4;1;1;1;1;1;1;20;Form;Chat;Ask;-99;Female;25;Bachelor;Student;IT;4;3;5;1;-99
96;3508;1;Form;Chat;Ask;DLZ2800;5;5;2;4;3;4;Nicht sehr Nutzerfreundlich, da der komplette Text in einer Zeile angezeigt wird, auch wenn dieser über mehrere Zeilen geht. Dann schwierig zu lesen. Außerdem unklar auf welcher Basis die KI DInge vorschlägt. Was waren ihre Annahmen? Was ist der Prompt? - Explainable AI wahrscheinlich besser;3;1;4;1;3;3;5;4;2;4;1;2;1;1;12;10;5;5;5;5;5;5;Viel besser als der erste Modus. NOch bessere wäre es wenn die erste initiale Antwort der KI pro Feld direkt angezeigt werden würde und nicht erst nach einem Button klick. Das würde Zeit sparen. Ansonsten sorgte es bei mir für wesentlich mehr Vertrauen und ich hatte das Gefühl ich wusste was ich mache.;5;2;5;1;5;1;5;1;5;1;1;1;1;1;3;1;5;5;5;4;4;2;Mehrzeiliger Text war in einer Zeile nur anzeigbar. Das ist nicht Nutzerfreundlich. Außerdem nervig, dass man die Antwort der KI selber in das Feld kopieren muss. Besser wäre es wenn das automatisch passiert und in mehreren Zeilen angezeigt wird sodass man nur noch überprüfen muss. Dadurch dass man diesen extra Schritt machen muss war ich gernevt und ungeduldig und habe den Inhalt nicht mehr wirklich gelesen.;1;5;5;1;3;1;5;5;2;1;10;17;6;15;21;10;Form;Chat;Ask;Ich checke nicht welches welches war aber das wo man nur den Button hatte und keine Frage stellen konnte ist bei mir Platz 2, das wo man manuel die Antwort rüber kopieren musste ist Platz 3 und das wo man schreiben konnte mit der KI und es die Antwort automatisch übernommen hat ist Platz 1;Female;25;Bachelor;Student;IT;3;1;5;4;Praxisprojekt 1
50;2892;1;Chat;Form;Ask;NEI2541;4;4;5;4;5;5;-99;3;2;5;1;5;1;5;1;4;2;8;1;4;7;2;5;5;5;4;4;4;4;-99;3;1;4;1;4;1;5;2;4;2;7;1;6;3;5;5;5;5;4;4;4;5;-99;3;2;4;1;5;2;5;2;4;2;7;1;4;4;3;7;Form;Chat;Ask;-99;Female;24;Bachelor;Student;IT;2;1;4;4;Praxisprojekt I
8;4892;1;Chat;Ask;Form;NUG0102;5;5;4;5;3;2;Sehr hoher mentaler Load, weil die KI viel Text generiert;2;4;4;4;4;2;3;5;2;5;21;20;19;20;19;8;5;5;3;5;4;1;Die KI hat sehr viel Text produziert, was sehr lange dauert zu lesen. Wenn sie etwas mehr abkürzen könnte und mehr Stichpunkte verwendet, würde das bestimmt helfen. Es war aufwändig, noch eine Beschreibung selbst einzufügen, nachdem man mit der KI gechattet hat. Das ist vielleicht in den Situationen hilfreich, wenn man schon ganz genau weiß, was man in den Feldern eintragen muss. Da ist der Chat Modus besser, weil er die gesamten Infos  versteckt  übernimmt und sie nicht extra noch übernommen werden müssen. Andererseits kann der Chat Modus an genau den Stellen dann stören, wenn man schon genau weiß, was man eintragen will, es aber die KI machen muss und man so noch die Konversation mit der KI überprüfen muss.;1;4;4;3;4;2;3;5;4;2;17;21;18;19;17;8;5;5;3;3;4;4;Die Info Felder sind sehr hilfreich, sie sind präzise aber knapp formuliert, sodass der mental Load zum Lesen nicht besonders hoch ist. Die Benutzeroberfläche ist um einiges ansprechender als die anderen 2 Modi, vor allem durch die bereits vorhandenen Checkboxen. Man hat also einen besseren Überblick über mögliche Optionen, sodass man nicht selbst noch überlegen muss, was es überhaupt gibt und was dann davon betroffen ist/zustimmt für dieses Dokument. Dass die KI Vorschläge machen kann auf Anfrage ist top und die Vorschläge erscheinen mir auch als hilfreich, jedoch wäre es bestimmt gut, wenn man der KI noch Kontext füttern kann denn jetzt wirkt es so als ob die KI halt  rät . Wenn man ihr noch Informationen geben kann, denke ich kann die Genauigkeit des Dokuments noch erheblich steigen.   Was mich nur optisch gestört hat ist, dass die Eingabefelder für die Dokumentenerstellung bei diesem Modus (und beim Ask Modus), nur Einzeiler sind und keine vergrößerbaren Textfelder, sodass man besser formatieren könnte und mehrere Zeilen sehen kann.;5;1;5;2;4;1;5;2;4;1;6;4;11;7;7;9;Form;Chat;Ask;Bei Form sind die Infotexte kurz gehalten und können optional jederzeit aufgerufen werden. Bei Chat und Ask müsste man immer in dem Chat hochscrollen und der Text bei der KI ist sehr lange und deshalb anstrengender zu lesen.  Was auch positiv war sind die bereits vorhandenen Checkboxen und Optionen bei Form, so muss man nicht noch nachdenken, was es überhaupt für Möglichkeiten gibt und was davon dann zutrifft. Das grenzt besser ein.   Einziges Manko bei Form ist, dass man der KI, wenn sie Vorschläge generieren soll, keinen Kontext reinwerfen kann, sondern sie gefühlt  raten muss , was dann in die Einträge kommen. Wenn man da noch ggf. Kontext hinzufügen könnte, wäre es optimal.    Ask ist dann die beste Option, wenn man nur bedingt oder in wenigen Fällen die Unterstützung der KI benötigt. Man kann ihr Kontext geben und Vorschläge/Verbesserungen erfragen, muss dann aber noch selbst manuell in die Abschnitte den Text eintragen. Das ist dann hilfreich, wenn man vlt. bereits Experte/Erfahrener ist, der nur wenig bis keine KI-Unterstützung braucht. Dadurch, dass ich aber kein Experte sondern Neuling bin, ist dieser Modus am meisten aufwändig für mich gewesen.    Der Chat Modus ist deshalb besser als der Ask Modus, da ich der KI als Nicht-Experte Fragen stellen und Kontext geben kann, sodass er selbst die Einträge generiert und  im Hintergrund  speichert, sodass ich keine weiteren Aktionen vornehmen muss und irgendwo noch etwas notieren muss. Das kann aber auch ein Nachteil sein, weil ich nicht zu 100% sagen kann, was die KI im Hintergrund nun abspeichert.    Die beste Option mMn wäre eine Mischung aus allen 3:  * Kurze, persistent einsehbare Infotexte zu den einzelnen Abschnitten und bereits vorhandene, wählbare Optionen (wie bei Form)  * Die Möglichkeit, der KI Kontext zu den einzelnen Abschnitten zu geben oder Fragen zu stellen (wie bei Chat)  * Die Möglichkeit, anhand des gegebenen Kontexts Texte erstellen zu lassen, die dann aber sichtbar werden und nicht im Hintergrund gespeichert werden (Ask & Form);Female;25;Bachelor;Student;IT;3;1;5;5;-99
1;-1;1;Form;Chat;Ask;EHN0215;5;5;4;3;3;4;-66;4;2;5;4;5;2;3;1;3;2;7;3;1;5;2;10;4;5;5;4;4;4;-66;3;1;5;1;4;1;5;2;4;1;5;9;1;4;8;10;4;4;4;4;4;2;-66;2;4;4;1;3;1;4;3;3;2;10;7;2;7;13;10;Form;Chat;Ask;-66;Male;25;Master;Employed;IT;3;2;5;0;-99
6;3131;1;Chat;Ask;Form;TIL1618;5;5;4;3;3;5;-99;5;1;5;1;5;1;5;1;5;1;2;1;2;3;1;19;4;5;4;3;3;4;-99;4;2;4;1;5;1;5;3;5;1;2;1;1;4;3;18;5;5;5;5;5;5;-99;5;1;5;1;5;1;5;1;5;1;1;1;1;1;1;20;Form;Chat;Ask;Form ging am schnellsten und hat sich am besten integriert angefühlt. Daher ist es auf dem ersten Platz.     Ask hat am längsten gedauert und nicht direkt formatierte Antworten gegeben, weswegen es auf dem letzten Platz landet.     Im Vergleich zu Chat hat sich Form insgesamt runder angefühlt.;Male;27;Master;Employed;IT;3;1;5;5;-99
82;1753;1;Form;Chat;Ask;VAG2434;5;5;2;4;4;4;-99;3;2;5;2;2;2;5;2;2;1;9;1;10;10;11;9;2;1;4;5;5;1;-99;1;4;2;1;2;2;1;2;4;1;14;4;18;13;18;14;2;1;4;4;4;1;-99;1;5;2;3;2;4;2;4;3;1;13;3;16;19;18;17;Form;Chat;Ask;"super umständlich im realen Leben wenn ich für jede Frage warten muss und mir vor allem die Kategorien unten nichts bringen und wieder ausführlich die KI fragen muss; würde ich als HRler nicht nutzen, nur den ersten Modus nutzen und dann mit zusätzlicher Chat Funktion bei Unsicherheiten verifizieren";Female;24;Bachelor;Employed;HR;3;1;4;5;-99
42;861;1;Form;Ask;Chat;orr2604;5;5;5;5;4;4;-99;4;1;5;2;1;1;4;1;4;1;4;3;3;3;3;18;4;4;4;4;4;3;-99;3;4;4;1;3;2;4;1;4;2;4;4;4;4;3;18;4;4;3;3;4;4;-99;4;1;5;1;4;1;4;1;5;1;3;3;3;3;3;18;Form;Chat;Ask;-99;Male;23;Bachelor;Student;BWL;3;2;5;5;-99
74;595;1;Form;Chat;Ask;EAG0813;3;4;2;4;3;5;-99;5;1;5;4;4;3;2;2;3;1;17;4;11;15;13;13;4;4;2;4;5;2;-99;5;3;4;5;5;1;4;2;2;2;15;4;10;14;9;14;4;3;2;5;2;4;-99;4;4;4;4;5;1;2;2;2;3;16;5;14;13;15;16;Form;Chat;Ask;-99;Male;22;Bachelor;Employed;BWL;2;1;4;1;-99
69;2904;1;Chat;Form;Ask;ANN1112;4;5;3;4;3;4;Manchmal antwortet die KI plötzlich in english statt deutsch.;4;2;4;2;3;2;4;3;4;3;16;4;15;13;13;11;5;5;2;4;4;5;Schlechte Lesbarkeit, da nur eine schmale Zeile;4;2;4;2;4;2;4;2;4;2;9;4;10;8;7;15;3;3;5;2;4;2;-99;2;4;2;2;2;4;4;4;4;2;11;6;11;11;16;13;Form;Chat;Ask;-99;Male;25;Bachelor;Student;Other;2;1;4;4;Praxisprojekt 1
14;-1;1;Chat;Ask;Form;thg1620;5;4;5;4;5;4;-99;4;1;5;1;5;3;5;1;5;1;5;5;2;7;1;1;4;4;5;5;4;2;-99;2;2;4;1;5;1;4;3;3;3;5;7;1;12;1;4;5;5;4;4;4;5;-99;5;1;5;1;5;1;5;1;5;1;3;1;1;3;1;2;Form;Chat;Ask;Ask führt dich gut an das Thema heran und hilft dir, die Richtigen Themen und Inhalte zu finden, allerdings muss man beim Ausformulieren noch viel selber machen.  Chat macht diesen Aspekt besser, es generiert den Text auf Basis der gegebenen Antworten und der Zustimmung des Nutzers. Allerdings muss man trotzdem darauf achten, nichts zu vergessen und die richtigen Prompts zu schreiben.  Form nimmt dir am meisten Arbeit ab, indem es viel selbst generiert und auch Antwortmöglichkeiten vorgibt.;Male;24;Bachelor;Student;Other;2;1;4;5;-99
39;1103;1;Ask;Chat;Form;pbc1629;5;5;5;5;5;5;-99;4;1;5;1;5;1;5;2;5;2;1;1;2;2;2;19;5;5;5;5;5;5;-99;5;1;5;1;5;1;5;1;5;1;1;1;1;1;2;21;5;5;5;5;5;5;-99;5;1;5;1;5;1;5;1;5;1;1;1;1;1;1;21;Form;Chat;Ask;-99;N/A;24;Other;PhD;Other;4;3;4;5;-99
75;2250;1;Chat;Form;Ask;AOL1438;5;5;4;4;3;3;-99;3;2;5;1;4;1;4;3;4;3;1;1;5;5;5;7;4;5;3;4;3;4;-99;4;1;5;1;5;2;5;1;5;1;7;1;1;9;1;7;5;5;4;3;4;4;-99;5;1;5;1;5;1;5;1;5;1;1;1;1;1;1;3;Ask;Form;Chat;Ich will nicht gezwungen sein mit der KI zu chatten, manchmal weiß ich schon wie ich Felder auszufüllen habe, und dann machts die KI (vor allem mit der Darstellung des Chats als (simulierter) Stream) nur lästig langsam und nervt bei der Arbeit.;Male;26;Bachelor;Student;IT;4;2;5;1;-99
56;2214;1;Form;Ask;Chat;NIL1922;3;4;2;2;2;1;-99;1;1;4;5;4;3;2;4;4;2;12;1;3;10;16;4;5;5;4;4;2;4;Während KI lädt, kann ich kein weiteres Feld ausfüllen.  ;2;1;3;2;2;1;4;3;4;1;8;1;1;10;13;5;2;1;3;2;3;1;-99;1;4;1;4;1;4;2;4;2;4;14;1;1;14;18;14;Ask;Form;Chat;Optimal wäre eine Mischung aus Chat und Form (Vorgegebene Ankreuzmöglichkeiten + chatten mit KI für besseres Verständnis der Ergebnisse und individueller Anpassung).;Female;23;Bachelor;Student;IT;1;1;3;4;Praxisprojekt und BPM
97;1818;1;Form;Ask;Chat;ALN1431;5;5;1;5;4;5;-99;5;1;5;2;5;2;5;1;4;1;8;1;6;4;2;5;5;5;5;5;4;4;-99;5;4;4;1;3;3;5;2;5;1;3;4;5;2;6;3;4;4;5;4;4;3;-99;4;4;3;2;3;3;4;4;4;1;4;2;5;2;3;3;Ask;Form;Chat;form am schnellsten, chat am langsamsten dafür fühlt man sich sicherer und ask ist genau die mischung;Male;23;Bachelor;Student;BWL;2;1;5;4;Praxisprojekt
63;885;1;Form;Ask;Chat;IHB53;4;5;4;2;3;3;-99;3;2;4;2;3;3;4;2;4;2;7;7;5;10;5;7;4;5;4;4;4;4;-99;4;2;4;2;3;3;4;2;4;2;10;12;6;10;6;9;4;5;4;4;3;2;-99;2;2;4;2;3;3;4;2;4;2;10;10;10;10;13;8;Ask;Form;Chat;Chat war nervig, weil die KI die Konversation begonnen hat, was super ineffizient war. Bei Ask konnte man direkt Infos mitgeben. Form bin ich neutral eingestellt - da ist das Vertrauen jedoch geringer, dass die Vorschläge direkt passen;Female;24;Bachelor;Student;BWL;3;2;4;4;Praxisprojekt 1
64;-1;1;Form;Ask;Chat;IIV2704;2;2;2;1;2;3;Habe die Fragen mit ChatGPT gegengecheckt und da kamen andere Dinge raus teilweise. Ich vertraue keiner KI 100 Prozent aber immerhin konnte ich hier nachfragen, warum was angekreuzt wird oder nicht bzw. was konkret gefragt wird;4;1;5;1;4;3;5;1;3;1;14;1;1;15;10;12;5;5;4;4;3;5;-99;5;2;4;1;2;3;3;2;4;1;21;1;2;11;12;11;4;5;3;4;4;4;Jetzt nachdem ich alle drei Anwendungen durch habe, würde ich sagen, die erste war die entspannteste  ;3;5;2;1;2;3;2;4;5;2;13;1;2;15;15;11;Ask;Form;Chat;War schöner, wenigstens mal Antwortmöglichkeiten zu sehen. Dann fühlt man sich sicherer mit den Antworten der KI;Female;26;Bachelor;Employed;Other;2;1;3;5;-99
87;2137;1;Ask;Chat;Form;ARN2026;4;4;3;3;3;4;-99;3;1;5;1;5;1;5;1;5;1;10;1;5;3;8;12;3;2;3;4;3;1;-99;1;1;5;1;2;1;5;5;5;1;3;1;3;3;8;12;5;5;4;4;3;5;-99;5;1;5;1;5;1;5;1;5;1;1;1;1;1;1;12;Form;Ask;Chat;Form was sehr hilfreich und zeiteffizient. Es verleitet aber vielleicht dazu, dass man nur die KI Vorschläge nutzt. ;Male;24;Bachelor;Student;IT;1;1;4;0;-99
34;2888;1;Ask;Chat;Form;ATN238;5;2;5;4;4;3;Durch die getrennten Chats, mussten Informationen redundant eingegeben werden. Die Komplexität des falls könnte auch in weniger Schritten erfasst werden. ;3;5;2;1;3;4;4;4;3;1;1;1;4;5;2;18;5;5;4;4;4;5;Es war deutlich angenehmer als vorhin. Jedoch ist mir beim letzten Chat folgendes mit ausgegeben worden:     DATA_UPDATE:  {     additionalInfo :  Die APOR GmbH verarbeitet personenbezogene Daten zur ganzheitlichen Verwaltung von Mitarbeitenden vom Eintritt bis zum Austritt. Dies umfasst die Anlage neuer Mitarbeitender, die Dokumentation von Arbeitszeiten sowie die Verwaltung von Urlaub und Abwesenheiten. Zusätzlich wird eine Parkplatzberechtigung für berechtigte Mitarbeitende verwaltet, wobei ein geeignetes Merkmal (z. B. Fahrzeugkennzeichen) zur Zuordnung hinterlegt wird. Die Verarbeitung erfolgt ausschließlich auf intern gehosteten Systemen (Microsoft Office, eigene Server) ohne Nutzung externer Cloud-Dienste. Medizinische Daten oder Krankentage werden nicht verarbeitet.    Technisch-organisatorische Maßnahmen umfassen rollenbasierten Zugriff (Need-to-know-Prinzip), Passwortschutz (ggf. Multi-Faktor-Authentifizierung), regelmäßige Backups, Zutrittskontrollen zum Serverraum/Archiv sowie Vertraulichkeitsverpflichtungen der berechtigten Mitarbeitenden. Alle personenbezogenen Daten werden spätestens drei Monate nach Austritt der jeweiligen Person gelöscht.   };3;3;4;1;3;2;4;2;4;1;2;1;3;5;1;19;5;5;5;4;5;5;Super übersichtlich! ;5;1;5;1;5;1;5;1;5;1;4;2;1;2;1;20;Form;Ask;Chat;Die beiden ersten Fälle waren ein wenig unnötig aufwendig. Der letzte war übersichtlich und klar. ;Male;25;Bachelor;Student;IT;2;1;5;4;Praxisprojekt Wirtschaftsinformatik
