participant_id,session,mode,prompt,comment
ATN238,2,Chat,2_free,"Es war deutlich angenehmer als vorhin. Jedoch ist mir beim letzten Chat folgendes mit ausgegeben worden:     DATA_UPDATE:  {     additionalInfo :  Die APOR GmbH verarbeitet personenbezogene Daten zur ganzheitlichen Verwaltung von Mitarbeitenden vom Eintritt bis zum Austritt. Dies umfasst die Anlage neuer Mitarbeitender, die Dokumentation von Arbeitszeiten sowie die Verwaltung von Urlaub und Abwesenheiten. Zusätzlich wird eine Parkplatzberechtigung für berechtigte Mitarbeitende verwaltet, wobei ein geeignetes Merkmal (z. B. Fahrzeugkennzeichen) zur Zuordnung hinterlegt wird. Die Verarbeitung erfolgt ausschließlich auf intern gehosteten Systemen (Microsoft Office, eigene Server) ohne Nutzung externer Cloud-Dienste. Medizinische Daten oder Krankentage werden nicht verarbeitet.    Technisch-organisatorische Maßnahmen umfassen rollenbasierten Zugriff (Need-to-know-Prinzip), Passwortschutz (ggf. Multi-Faktor-Authentifizierung), regelmäßige Backups, Zutrittskontrollen zum Serverraum/Archiv sowie Vertraulichkeitsverpflichtungen der berechtigten Mitarbeitenden. Alle personenbezogenen Daten werden spätestens drei Monate nach Austritt der jeweiligen Person gelöscht.   }"
ATN238,3,Form,3_free,Super übersichtlich!
ATN238,overall,overall,4_free,Die beiden ersten Fälle waren ein wenig unnötig aufwendig. Der letzte war übersichtlich und klar.
AUZ0425,2,Ask,2_free,Die KI formuliert ihre Antworten nicht aus wenn man das Tab wechselt.
AUZ0425,overall,overall,4_free,"Die Ask-Funktion in der man selbst formulieren muss hat einen am meisten verunsichert. Der Chat hat am meisten abgenommen, was sich (wenn man null Ahnung hat) wie eine große Hilfe anfühlt."
AVV6119,2,Form,2_free,Konnte das Dokument ohne weitere Fragen erstellen (lassen?). Habe wahrscheinlich was falsch gemacht?
AVV6119,3,Ask,3_free,Ich konnte das Tool nicht nochmals starten!? Irgendwas passt in der Umfrage nicht?
CTL2527,overall,overall,4_free,"Bei Form sieht man direkt die Möglichkeiten und bekommt eine  Ausfüllhilfe  und kann abschätzen ob was vergessen wurde.  Bei Ask bekam man direkt Vorschläge welche man übernehmen und je Abschnitt direkt anpassen konnte. Das manuelle Übernehmen war nervig.  Bei Chat musste man je Abschnitt sich erst die Informationen anzeigen lassen welche das Modell vorsehen würde, fühlte sich nach unnötiger Arbeit an. Das manuelle Eingreifen war aufwendiger."
DLZ2800,1,Form,1_free,"Nicht sehr Nutzerfreundlich, da der komplette Text in einer Zeile angezeigt wird, auch wenn dieser über mehrere Zeilen geht. Dann schwierig zu lesen. Außerdem unklar auf welcher Basis die KI DInge vorschlägt. Was waren ihre Annahmen? Was ist der Prompt? - Explainable AI wahrscheinlich besser"
DLZ2800,2,Chat,2_free,Viel besser als der erste Modus. NOch bessere wäre es wenn die erste initiale Antwort der KI pro Feld direkt angezeigt werden würde und nicht erst nach einem Button klick. Das würde Zeit sparen. Ansonsten sorgte es bei mir für wesentlich mehr Vertrauen und ich hatte das Gefühl ich wusste was ich mache.
DLZ2800,3,Ask,3_free,"Mehrzeiliger Text war in einer Zeile nur anzeigbar. Das ist nicht Nutzerfreundlich. Außerdem nervig, dass man die Antwort der KI selber in das Feld kopieren muss. Besser wäre es wenn das automatisch passiert und in mehreren Zeilen angezeigt wird sodass man nur noch überprüfen muss. Dadurch dass man diesen extra Schritt machen muss war ich gernevt und ungeduldig und habe den Inhalt nicht mehr wirklich gelesen."
DLZ2800,overall,overall,4_free,"Ich checke nicht welches welches war aber das wo man nur den Button hatte und keine Frage stellen konnte ist bei mir Platz 2, das wo man manuel die Antwort rüber kopieren musste ist Platz 3 und das wo man schreiben konnte mit der KI und es die Antwort automatisch übernommen hat ist Platz 1"
EHJ2314,2,Ask,2_free,fand die Version im  Vergleich zur ersten Variante (form) erheblich schlechter
EHJ2314,3,Chat,3_free,kontinuierlich schlechter geworden. Der KI Vorschlag war am besten + benutzerfreundlichsten
EHJ2314,overall,overall,4_free,Form war am schnellsten und am besten integriert. Wenn die KI gut trainiert ist hat es das höchste Automatisierungspotenzial. Dadurch am Besten.   Gefahr: nur die KI-Schläge werden genutzt
EHN0215,1,Form,1_free,-66
EHN0215,2,Chat,2_free,-66
EHN0215,3,Ask,3_free,-66
EHN0215,overall,overall,4_free,-66
ELL2944,2,Form,2_free,"Die Textfelder mit den KI-Vorschlägen sind in der mobilen Ansicht leider zu klein, sodass man nicht den ganzen Text sehen kann. Ich hätte die Texte gerne ganz angeschaut, bevor ich das Dokument generieren lasse."
ENB1054,2,Ask,2_free,Zeitlich intensiver aber detailierter.
ENB1054,overall,overall,4_free,Form war am einfachsten und am schnellsten und Ask hat mehr argumentiert.
EUT2807,overall,overall,4_free,War von oben nach unten immer etwas unangenehmer zu bedienen
GAL0315,overall,overall,4_free,I do not what this is referring to on the forms
IAR1116,overall,overall,4_free,"Chat  verbindet die KI mit der direkten Einarbeitung in das Dokument. Es gibt zwar keine Option, die Informationen direkt selbst anzugeben, doch es schadet vermutlich nie, wenn die KI kurz drüber schaut, auch wenn man sich eigentlich sicher ist, dass alles vorhanden ist.   Ask  war von den drei Versionen deutlich am umständlichsten. Entweder man sucht die Informationen erst selbst heraus (dann wäre die KI unnötig) oder man kopiert die Informationen der KI, jedoch habe ich da nicht verstanden, dass bei der Erstellung erneut eine KI drüber arbeitet und alles von der KI versucht in die kleinen Inputs umzuformatieren."
IHB53,overall,overall,4_free,"Chat war nervig, weil die KI die Konversation begonnen hat, was super ineffizient war. Bei Ask konnte man direkt Infos mitgeben. Form bin ich neutral eingestellt - da ist das Vertrauen jedoch geringer, dass die Vorschläge direkt passen"
IHL0436,2,Form,2_free,Ich habe die KI nicht verwendet
IHL0436,overall,overall,4_free,"Ich fand bei Chat zu unklar, was jetzt genau im Dokument steht, bei den anderen konnte man das noch mehr selber kontrollieren.   Ich fand Form am angenehmsten, weil ich die KI nicht benutzt hab und dadurch nicht lange auf Antworten warten musste, jedoch ist dieses auch am unkonkretesten meinerseits. Ich mochte aber das man selbstständig ankreuzen und schreiben konnte."
IIV2704,1,Form,1_free,"Habe die Fragen mit ChatGPT gegengecheckt und da kamen andere Dinge raus teilweise. Ich vertraue keiner KI 100 Prozent aber immerhin konnte ich hier nachfragen, warum was angekreuzt wird oder nicht bzw. was konkret gefragt wird"
IIV2704,3,Chat,3_free,"Jetzt nachdem ich alle drei Anwendungen durch habe, würde ich sagen, die erste war die entspannteste"
IIV2704,overall,overall,4_free,"War schöner, wenigstens mal Antwortmöglichkeiten zu sehen. Dann fühlt man sich sicherer mit den Antworten der KI"
IOL1223,1,Ask,1_free,"Ich habe erst versucht alles eigenständig auszufüllen. Nächstes mal warte ich nicht so lange, sondern nutze die KI schneller"
IOL1223,2,Form,2_free,"Die KI hat sehr viel ausgewählt, da müsste man auf jeden Fall noch selbstständig filtern"
IOL1223,3,Chat,3_free,"Zusätzliche Bestätigung notwendig, damit die Informationen dann auch aufgenommen werden. Außerdem konnte man nichts vorab oder selbständig eintragen, sondern erst als Antwort im Chat"
IOL1223,overall,overall,4_free,"Ask war sehr angenehm und eindeutig. Auch der Aufbau hat den Eindruck verstärkt, dass die KI unterstützend arbeitet.   Chat war langwierig und auch unsicher, weil es immer die Bestätigung benötigte.   Form hat mir nicht das Gefühl vermittelt genau genug zu arbeiten."
Jer1205,2,Chat,2_free,"Im Hinblick auf das Thema ist ein Chat besonders hilfreich, wenn man sich nicht auskennt."
Jer1205,overall,overall,4_free,"Ich habe mich für Chat und ASK entschieden, da ich mich mit dem Thema an sich nicht so gut auskannte. So habe ich noch einiges dazugelernt, was ich besonders gut finde. Ich möchte mich nicht nur auf ein gesetztes Kreuzchen verlassen, sondern auch verstehen, was es bedeutet. Meine Reihenfolge bzw. mein Ranking würde sich jedoch ändern, wenn ich Experte auf diesem Gebiet wäre. Des Weiteren hätte ich vermutlich Form höher gerankt, wenn es ganz am Schluss der drei Optionen gekommen wäre und nicht als erstes, ohne Hintergrundwissen."
KIR2546,2,Chat,2_free,"Ein Chatfeld wäre meiner Meinung nach ausreichend gewesen. Die Möglichkeit in jedem Abschnitt einen Chat zu öffnen, finde ich eher verwirrend."
KNN1826,1,Ask,1_free,"Technisch richtig nice, die UI kann man aber noch verbessern - wie z.B. Daten in 2 Columns packen usw. Danke!"
KNN1826,2,Chat,2_free,"cool, dass man alle Infos in ein Eingabefeld packen kann, und die KI wird es dann richtig zuordnen"
KNN1826,3,Form,3_free,"fand ich unübersichtlich:( davor konnte ich alle Infos an die KI schicken, hier war es mir nicht klar, wie KI Vorschläge macht"
KNN1826,overall,overall,4_free,"Nr2, Nr1, Nr3"
LHL1942,overall,overall,4_free,"Ich fand die KI Vorschläge gut, da man schneller vorangekommen ist und direkt verstanden hat worum es geht."
MIN0453,overall,overall,4_free,"Form ging am schnellsten, natürlich nicht einfach präzise Fragen noch mal abzuändern und zu klären aber wahrscheinlich für den Alltag am praktikabelsten"
MON0804,1,Ask,1_free,Sehr gute Umsetzung
NAB0152,overall,overall,4_free,Form muss man am wenigsten machen. Bei Chat und Ask habe ich nicht wirklich den Unterschied bemerkt was anders sein soll.
NAN277,1,Chat,1_free,"Das LLM sagt  rechtssicher  was bei LLMs natürlich schwierig ist, vielleicht ein Guardrail einbauen, dass dieses Wort nicht erwähnt wird"
NAN277,overall,overall,4_free,"In Form war es etwas unübersichtlich, da ich zu wenig Vorwissen hatte. Das Chat war super!"
NIL1922,2,Ask,2_free,"Während KI lädt, kann ich kein weiteres Feld ausfüllen."
NIL1922,overall,overall,4_free,Optimal wäre eine Mischung aus Chat und Form (Vorgegebene Ankreuzmöglichkeiten + chatten mit KI für besseres Verständnis der Ergebnisse und individueller Anpassung).
NOC2416,2,Ask,2_free,"Eine Affirmation, dass die Frage um die ich mich kümmere wichtig ist, ist nicht bei jeder Antwort notwendig"
NOC2416,3,Chat,3_free,"Mehrere Paralelle anfragen für schnelleren Workflow würde diesen Modus deutlich verbessern (ich verstehe wenn das aus kosten/demo gründen nicht so ist)    Es ist nicht klar welche Antwort zur Generation gegeben wird (Wenn das der gesamte Chatverlauf ist, dann ist das teurer zu verarbeiten als nötig). Vielleicht eine kurze Erklärung zu jedem Modus auf der Webseite?    In diesem Modus fühle ich mich am meisten gebremst, da Felder die einfach zu beantworten sind, auch das warten auf die LLM erfordern (e.g. Datenquellen die man 1 zu 1 aus dem Text kopieren kann)"
NOC2416,overall,overall,4_free,"Der Modus Form, ist am schnellsten, aber bietet dem Nutzer auch das Gefühl für die meiste Kontrolle. Hier ist am besten ersichtlich welche Informationen für die Generation genutzt werden.  Der Modus Ask kommt danach, da einfache Fragen nicht den Einbezug einer LLM benötigen wie schon bei Form aber für schwierigere Sachverhalte diese unterstützen kann.  Der Modus Chat kommt als letztes, da sich der Modus anfühlt wie Stützräder die man nicht braucht und einen nur verlangsamen anstatt wirklich zu helfen."
NOL0906,overall,overall,4_free,"Chat war das intuitivste. Sehr nutzerfreundliche Anwendung.   Bei allen 3 war gut, dass in den oberen Feldern Beispiele drin standen."
NRI1753,2,Chat,2_free,Viel Zeitaufwändiger als das erste Tool aber dafür bessere und genauere Antworten
NRI1753,3,Ask,3_free,"Sehr gut, da dieser Modus auch mehr erklärt hat"
NRI1753,overall,overall,4_free,"Ich finde, bei dem Modus mit der genauen Erläuterung wieso das System die Dinge genutzt hat am besten, da ich hier eine genaue Beschreibung bekomme. Hierdurch fallen mögliche Recherchen weg die bei den anderen Modi anfallen würden."
NUG0102,1,Chat,1_free,"Sehr hoher mentaler Load, weil die KI viel Text generiert"
NUG0102,2,Ask,2_free,"Die KI hat sehr viel Text produziert, was sehr lange dauert zu lesen. Wenn sie etwas mehr abkürzen könnte und mehr Stichpunkte verwendet, würde das bestimmt helfen. Es war aufwändig, noch eine Beschreibung selbst einzufügen, nachdem man mit der KI gechattet hat. Das ist vielleicht in den Situationen hilfreich, wenn man schon ganz genau weiß, was man in den Feldern eintragen muss. Da ist der Chat Modus besser, weil er die gesamten Infos  versteckt  übernimmt und sie nicht extra noch übernommen werden müssen. Andererseits kann der Chat Modus an genau den Stellen dann stören, wenn man schon genau weiß, was man eintragen will, es aber die KI machen muss und man so noch die Konversation mit der KI überprüfen muss."
NUG0102,3,Form,3_free,"Die Info Felder sind sehr hilfreich, sie sind präzise aber knapp formuliert, sodass der mental Load zum Lesen nicht besonders hoch ist. Die Benutzeroberfläche ist um einiges ansprechender als die anderen 2 Modi, vor allem durch die bereits vorhandenen Checkboxen. Man hat also einen besseren Überblick über mögliche Optionen, sodass man nicht selbst noch überlegen muss, was es überhaupt gibt und was dann davon betroffen ist/zustimmt für dieses Dokument. Dass die KI Vorschläge machen kann auf Anfrage ist top und die Vorschläge erscheinen mir auch als hilfreich, jedoch wäre es bestimmt gut, wenn man der KI noch Kontext füttern kann denn jetzt wirkt es so als ob die KI halt  rät . Wenn man ihr noch Informationen geben kann, denke ich kann die Genauigkeit des Dokuments noch erheblich steigen.   Was mich nur optisch gestört hat ist, dass die Eingabefelder für die Dokumentenerstellung bei diesem Modus (und beim Ask Modus), nur Einzeiler sind und keine vergrößerbaren Textfelder, sodass man besser formatieren könnte und mehrere Zeilen sehen kann."
NUG0102,overall,overall,4_free,"Bei Form sind die Infotexte kurz gehalten und können optional jederzeit aufgerufen werden. Bei Chat und Ask müsste man immer in dem Chat hochscrollen und der Text bei der KI ist sehr lange und deshalb anstrengender zu lesen.  Was auch positiv war sind die bereits vorhandenen Checkboxen und Optionen bei Form, so muss man nicht noch nachdenken, was es überhaupt für Möglichkeiten gibt und was davon dann zutrifft. Das grenzt besser ein.   Einziges Manko bei Form ist, dass man der KI, wenn sie Vorschläge generieren soll, keinen Kontext reinwerfen kann, sondern sie gefühlt  raten muss , was dann in die Einträge kommen. Wenn man da noch ggf. Kontext hinzufügen könnte, wäre es optimal.    Ask ist dann die beste Option, wenn man nur bedingt oder in wenigen Fällen die Unterstützung der KI benötigt. Man kann ihr Kontext geben und Vorschläge/Verbesserungen erfragen, muss dann aber noch selbst manuell in die Abschnitte den Text eintragen. Das ist dann hilfreich, wenn man vlt. bereits Experte/Erfahrener ist, der nur wenig bis keine KI-Unterstützung braucht. Dadurch, dass ich aber kein Experte sondern Neuling bin, ist dieser Modus am meisten aufwändig für mich gewesen.    Der Chat Modus ist deshalb besser als der Ask Modus, da ich der KI als Nicht-Experte Fragen stellen und Kontext geben kann, sodass er selbst die Einträge generiert und  im Hintergrund  speichert, sodass ich keine weiteren Aktionen vornehmen muss und irgendwo noch etwas notieren muss. Das kann aber auch ein Nachteil sein, weil ich nicht zu 100% sagen kann, was die KI im Hintergrund nun abspeichert.    Die beste Option mMn wäre eine Mischung aus allen 3:  * Kurze, persistent einsehbare Infotexte zu den einzelnen Abschnitten und bereits vorhandene, wählbare Optionen (wie bei Form)  * Die Möglichkeit, der KI Kontext zu den einzelnen Abschnitten zu geben oder Fragen zu stellen (wie bei Chat)  * Die Möglichkeit, anhand des gegebenen Kontexts Texte erstellen zu lassen, die dann aber sichtbar werden und nicht im Hintergrund gespeichert werden (Ask & Form)"
NUP1152,overall,overall,4_free,Bei Form hat man eine Auswahl und kann besser abwägen was passt falls man keine ahnung über die themen hat
TIL1618,overall,overall,4_free,"Form ging am schnellsten und hat sich am besten integriert angefühlt. Daher ist es auf dem ersten Platz.     Ask hat am längsten gedauert und nicht direkt formatierte Antworten gegeben, weswegen es auf dem letzten Platz landet.     Im Vergleich zu Chat hat sich Form insgesamt runder angefühlt."
UOR0445,3,Chat,3_free,"Bei einem Prompt kam ein englischer Satzanfang zurück:   I've updated die Rechtsgrundlage, um die folgenden Punkte zu berücksichtigen:"
UOR0445,overall,overall,4_free,"- Ask hat einem zwar Hinweise gegeben und so geholfen die Felder auszufüllen, allerdings war das Ergebnis erst im Endergebnis ersichtlich und es gab keine Übersicht wie das Model mit den Eingaben umgeht. Wie sich am Ende herausstellte enthielt das Ergebnis zu einem großen Teil meine Eingaben nur leicht abgeändert. Die Rechtsgrundlage war ein Fließtext ohne Verweise auf die tatsächlichen rechtlichen Grundlagen.    - Chat war in beiden Punkten besser. Die Eingaben wurden sofort evaluiert und man konnte auf Fehler reagieren als auch sehen, wie die eigene Eingabe verändert wurde. Allerdings war es nicht direkt ersichtlich, ob einfach der gesamte Chatverlauf für die Generation am Ende verwendet wird, oder ob man irgendwie noch für die einzelnen Felder die Antwort des LLM akzeptieren muss.    - Form war der insgesamt beste Modus. Durch die vorgegebenen Felder zum ankreuzen ging die Erstellung besonders schnell und einfach, ohne die eigene Eingabe irgendwie einzuschränken. Die Auswahl wurde genau übernommen."
VAG2434,overall,overall,4_free,"super umständlich im realen Leben wenn ich für jede Frage warten muss und mir vor allem die Kategorien unten nichts bringen und wieder ausführlich die KI fragen muss; würde ich als HRler nicht nutzen, nur den ersten Modus nutzen und dann mit zusätzlicher Chat Funktion bei Unsicherheiten verifizieren"
YÜI1752,1,Form,1_free,"Die KI hilft zwar die Prozesse zu beschleunigen aber im Endefekt würde ich trotzdem noch bevor ich das erstelle, die Angaben überprüfen und gegebenenfalls korrigieren oder ergänzen."
YÜI1752,2,Ask,2_free,"Mkt der KI zu chatten braucht man manchmal auch gewisses Hintergrundwissen, damit man genau weiß wie die Frage lauten soll."
YÜI1752,3,Chat,3_free,Das erste Beispiel war immernoch am schnellsten und effektivsten meiner Meinung nach.
YÜI1752,overall,overall,4_free,İch finde die schnellste und einfachste Lösung ist das direkte ausfüllen der Kİ. Danach kommt für mich die Ask methode und zuletzt der chat weil im chat muss man sich auch etwas in dem Gebiet auskennen um die Frage gut zu formulieren.
aea2442,overall,overall,4_free,"ich fande den Chat am Intuitivsten zu bedienen, da die KI basierend auf meinen Infos Antworten generiert hat.  Ask war git zum Vertändniss der einzelnen Kathegorien um zu wissen welche Info wozu gehört  Bei Form fand ich die KI-Vorschläge oft aus der Luft gegriffen und nicht basieren auf dem eigentlichen Szenario."
lan0324,3,Chat,3_free,"Das Problem das ich generell mit automatisch erzeugen Dokumenten habe ist, dass ich nie sicher gehen kann, ob diese rechtlich tatsächlich korrekt sind und alle Anforderungen abdecken. Ich persönlich würde immer noch einen fachkundigen Menschen über diese Ergebnisse schauen lassen, bevor ich sie verwende"
lan0324,overall,overall,4_free,"Der Chat ist natürlich am entspanntesten, da man theoretisch nichts machen muss außer die Stammdaten einzutragen. Allerdings weiß man damit auch weniger genau, wie gut die ausgegeben Daten tatsächlich sind"
thg1620,overall,overall,4_free,"Ask führt dich gut an das Thema heran und hilft dir, die Richtigen Themen und Inhalte zu finden, allerdings muss man beim Ausformulieren noch viel selber machen.  Chat macht diesen Aspekt besser, es generiert den Text auf Basis der gegebenen Antworten und der Zustimmung des Nutzers. Allerdings muss man trotzdem darauf achten, nichts zu vergessen und die richtigen Prompts zu schreiben.  Form nimmt dir am meisten Arbeit ab, indem es viel selbst generiert und auch Antwortmöglichkeiten vorgibt."
